Index,Random,Total Amount,Total Amount 2,STD Dev,Assignment,Combined,Genentic,Reference
52,"[12.499814022346492, -0.07393348898833504, -12943]","[13.121182349107618, -0.01370595153925288, -19294]","[13.348908437255401, -0.012957640797132202, -20834]","[13.348908437255401, -0.012957640797132202, -20834]","[14.536499658175815, -0.10318880620557189, -3680]","[13.348908437255401, -0.012957640797132202, -20834]","[12.333725226370682, -0.08871558338328428, -17578]","[13.726484114152152, -0.019210977287024766, -1146]"
53,"[14.810510594155051, -0.08980366968464186, -11645]","[16.151011227043675, -0.014112965510765978, -17771]","[16.8173007558595, -0.013670439687306813, -22186]","[16.8173007558595, -0.013670439687306813, -22186]","[17.87771470338206, -0.1127141153077647, -3585]","[16.8173007558595, -0.013670439687306813, -22186]","[14.583755906367331, -0.08042622192163794, -21357]","[19.138254994754114, -0.026785051362019457, -1146]"
54,"[16.613053964680848, -0.09263439753957144, -10939]","[16.303059935754277, -0.021007923387599395, -16523]","[16.709621766318534, -0.013998764242704123, -20855]","[16.709621766318534, -0.013998764242704123, -20855]","[18.186132270972216, -0.11173054700170175, -3469]","[16.709621766318534, -0.013998764242704123, -20855]","[15.245571958872564, -0.09481830936861226, -15708]","[19.138254994754114, -0.026785051362019457, -1146]"
55,"[13.173764786173761, -0.061190613376268535, -15166]","[12.842443843541473, -0.013089780947642637, -19952]","[13.434540514084699, -0.01091148005878633, -20237]","[13.434540514084699, -0.01091148005878633, -20237]","[14.985539651298765, -0.11462471907814459, -3188]","[13.434540514084699, -0.01091148005878633, -20237]","[12.408977293930807, -0.07995954580893562, -18725]","[13.726484114152152, -0.019210977287024766, -1146]"
56,"[12.55490422174761, -0.07355479974941515, -11063]","[13.02180241276905, -0.013190772102476689, -19477]","[13.374979556150386, -0.014523142027611072, -20176]","[13.374979556150386, -0.014523142027611072, -20176]","[14.766997086100403, -0.11276879826483899, -3307]","[13.374979556150386, -0.014523142027611072, -20176]","[11.845314693339809, -0.06706014386260463, -21012]","[13.726484114152152, -0.019210977287024766, -1146]"
57,"[11.693825270261032, -0.07605926651135883, -12257]","[13.024874707722457, -0.013641973259278102, -19428]","[13.41810024988574, -0.014490283306702949, -20315]","[13.41810024988574, -0.014490283306702949, -20315]","[14.885542468234513, -0.11417759088513638, -3423]","[13.41810024988574, -0.014490283306702949, -20315]","[12.887292085666568, -0.08529611605408899, -13243]","[13.726484114152152, -0.019210977287024766, -1146]"
58,"[13.68414319882784, -0.08880413440110944, -13266]","[13.36339609953264, -0.014494040652784215, -19596]","[13.554984512900411, -0.010409779997777474, -21944]","[13.554984512900411, -0.010409779997777474, -21944]","[15.413735727912337, -0.11369800582336528, -3672]","[13.554984512900411, -0.010409779997777474, -21944]","[12.275578908863707, -0.077307128885912, -17278]","[13.726484114152152, -0.019210977287024766, -1146]"
59,"[13.047052444236563, -0.07047079338866129, -8822]","[13.365075800513349, -0.01450589208795144, -19649]","[13.544765968996765, -0.010140324557675932, -21248]","[13.544765968996765, -0.010140324557675932, -21248]","[15.278741738210082, -0.11370536468835772, -3486]","[13.544765968996765, -0.010140324557675932, -21248]","[12.477925981053756, -0.07374980942066185, -15558]","[13.726484114152152, -0.019210977287024766, -1146]"
60,"[14.777581073997133, -0.07797736358272558, -14199]","[16.171954564767134, -0.014099161128989486, -17324]","[16.739713053499, -0.013705168166590504, -21877]","[16.739713053499, -0.013705168166590504, -21877]","[18.512423853594548, -0.11337654766093563, -3594]","[16.739713053499, -0.013705168166590504, -21877]","[15.73992154343348, -0.09127665861345838, -18269]","[19.138254994754114, -0.026785051362019457, -1146]"
61,"[12.990175846483744, -0.06771048873863111, -13934]","[12.888078583527188, -0.013428084178068539, -19987]","[13.277604734511865, -0.011888052721825118, -20090]","[13.277604734511865, -0.011888052721825118, -20090]","[14.831034153271009, -0.11425704463776346, -3095]","[13.277604734511865, -0.011888052721825118, -20090]","[12.229463373257815, -0.08138799720235197, -16877]","[13.726484114152152, -0.019210977287024766, -1146]"
62,"[12.651873069714068, -0.07800733406154048, -12393]","[12.85017101366113, -0.012506573945772132, -19861]","[13.148747204507917, -0.008180129234734598, -21774]","[13.148747204507917, -0.008180129234734598, -21774]","[14.723746581290932, -0.11919622068973226, -4175]","[13.148747204507917, -0.008180129234734598, -21774]","[12.476797023312749, -0.06973549851978775, -20994]","[13.726484114152152, -0.019210977287024766, -1146]"
63,"[13.214944463024352, -0.07745198464906884, -13072]","[12.932104568484558, -0.012104346182523568, -19684]","[13.150514213190956, -0.007981970250855442, -22974]","[13.150514213190956, -0.007981970250855442, -22974]","[14.667497189761724, -0.1150453574970421, -4595]","[13.150514213190956, -0.007981970250855442, -22974]","[12.087535345010087, -0.07380115521158806, -19284]","[13.726484114152152, -0.019210977287024766, -1146]"
64,"[11.859183538356527, -0.07263220646007755, -10269]","[12.828244626618163, -0.01252038815532905, -19172]","[13.06143675866864, -0.009810338071974664, -21607]","[13.06143675866864, -0.009810338071974664, -21607]","[14.862357866578868, -0.11330764942255066, -3943]","[13.06143675866864, -0.009810338071974664, -21607]","[12.227415605722323, -0.07560849216891694, -20391]","[13.726484114152152, -0.019210977287024766, -1146]"
65,"[12.652214994956053, -0.07374355692082071, -13060]","[12.838290274063931, -0.011908840179868143, -19499]","[12.977705973478763, -0.007364568933632644, -22776]","[12.977705973478763, -0.007364568933632644, -22776]","[14.823035521641538, -0.11428231037405338, -4189]","[12.977705973478763, -0.007364568933632644, -22776]","[12.18524671847457, -0.07220442559403484, -12198]","[13.726484114152152, -0.019210977287024766, -1146]"
66,"[15.588444831396101, -0.09127841860040155, -10370]","[16.133000459126787, -0.013939534472378085, -17716]","[17.002743062886797, -0.016879430379879035, -22206]","[17.002743062886797, -0.016879430379879035, -22206]","[18.544356623196517, -0.11461684658220805, -3378]","[17.002743062886797, -0.016879430379879035, -22206]","[13.514055157517467, -0.10407439709324888, -20239]","[19.138254994754114, -0.026785051362019457, -1146]"
67,"[12.406034671121262, -0.06726129946878907, -11543]","[12.902330938457007, -0.012805459418058055, -20031]","[13.184511454047275, -0.008315332878655449, -21185]","[13.184511454047275, -0.008315332878655449, -21185]","[14.861247129764143, -0.11248116354357, -4267]","[13.184511454047275, -0.008315332878655449, -21185]","[12.69201913961159, -0.07626015043641383, -15519]","[13.726484114152152, -0.019210977287024766, -1146]"
68,"[13.3195534299089, -0.0866917673579518, -13795]","[12.752731060859718, -0.012445269599003092, -20124]","[13.12358943178035, -0.009275728950102117, -23459]","[13.12358943178035, -0.009275728950102117, -23459]","[14.804783801787426, -0.11497245541698312, -3799]","[13.12358943178035, -0.009275728950102117, -23459]","[11.975577014020129, -0.0625351174678196, -18798]","[13.726484114152152, -0.019210977287024766, -1146]"
69,"[13.61324861181039, -0.07425315286550697, -13443]","[12.833497810214809, -0.012005736261811875, -19659]","[13.413889647493907, -0.011204447967287649, -21627]","[13.413889647493907, -0.011204447967287649, -21627]","[14.709881601748293, -0.1143037671791703, -4115]","[13.413889647493907, -0.011204447967287649, -21627]","[12.329608889048494, -0.06846241254261344, -21801]","[13.726484114152152, -0.019210977287024766, -1146]"
70,"[15.223888479390574, -0.09736115214419289, -14847]","[16.19660589747084, -0.013872050762614852, -17974]","[16.66672469336283, -0.012471135883329936, -21767]","[16.66672469336283, -0.012471135883329936, -21767]","[18.609675544529303, -0.11537822238057291, -3515]","[16.66672469336283, -0.012471135883329936, -21767]","[14.570847536111765, -0.0984408032091552, -15566]","[19.138254994754114, -0.026785051362019457, -1146]"
71,"[15.340666954289654, -0.07785316362266154, -14769]","[16.263278132763546, -0.01379050896714256, -17223]","[16.575927848628858, -0.013568554115268496, -22862]","[16.575927848628858, -0.013568554115268496, -22862]","[17.934380595326225, -0.11438546730193463, -4005]","[16.575927848628858, -0.013568554115268496, -22862]","[14.37110033638287, -0.08002762371716188, -20939]","[19.138254994754114, -0.026785051362019457, -1146]"
72,"[11.535436946300997, -0.06626021289144915, -14768]","[12.915765764883503, -0.013029404491088255, -20238]","[13.38109098995885, -0.011537141810741827, -20773]","[13.38109098995885, -0.011537141810741827, -20773]","[14.952985299521941, -0.11259438002876096, -3897]","[13.38109098995885, -0.011537141810741827, -20773]","[12.555352764352003, -0.06901108523583083, -14774]","[13.726484114152152, -0.019210977287024766, -1146]"
73,"[12.93704142327373, -0.07317288193725859, -11504]","[12.863539027547278, -0.013179746603031884, -19908]","[13.005677148892717, -0.007284361297070546, -20873]","[13.005677148892717, -0.007284361297070546, -20873]","[14.915055956899344, -0.11436079983079896, -3030]","[13.005677148892717, -0.007284361297070546, -20873]","[11.598568396003364, -0.07891336356172944, -18631]","[13.726484114152152, -0.019210977287024766, -1146]"
74,"[12.936221621016957, -0.075472949558586, -12453]","[12.832143422330102, -0.012767844549072538, -19103]","[13.272144637803745, -0.01104487155325966, -21769]","[13.272144637803745, -0.01104487155325966, -21769]","[14.783169322408364, -0.11490684355510825, -4074]","[13.272144637803745, -0.01104487155325966, -21769]","[12.468033153906656, -0.07909652375314837, -16354]","[13.726484114152152, -0.019210977287024766, -1146]"
75,"[14.789643435084859, -0.08538791959256709, -15563]","[15.89103460470277, -0.013842378053665526, -16819]","[16.58788332427133, -0.01350702199762875, -21070]","[16.58788332427133, -0.01350702199762875, -21070]","[18.397328195726015, -0.11370085253510394, -3626]","[16.58788332427133, -0.01350702199762875, -21070]","[15.153121126550046, -0.10624738223698468, -15191]","[19.138254994754114, -0.026785051362019457, -1146]"
76,"[13.363366027306304, -0.07240934976609646, -11741]","[13.0145710456033, -0.01352499349950241, -19437]","[13.467051494893308, -0.015694440453660103, -20781]","[13.467051494893308, -0.015694440453660103, -20781]","[14.683452859788929, -0.11394547590693115, -3576]","[13.467051494893308, -0.015694440453660103, -20781]","[12.981370477227985, -0.07766445104754753, -16025]","[13.726484114152152, -0.019210977287024766, -1146]"
77,"[15.4119293640637, -0.08968875427529083, -14525]","[15.916889792024058, -0.013763967154847095, -17288]","[16.884619066551323, -0.015549554478446765, -20607]","[16.884619066551323, -0.015549554478446765, -20607]","[18.10660126958598, -0.11361202035957886, -3522]","[16.884619066551323, -0.015549554478446765, -20607]","[14.706568474051148, -0.07776601282083773, -16069]","[19.138254994754114, -0.026785051362019457, -1146]"
78,"[12.970657398440236, -0.07226684039029922, -10654]","[13.354566155863662, -0.013897756869498436, -19948]","[13.419870739568601, -0.00816953442221851, -22089]","[13.419870739568601, -0.00816953442221851, -22089]","[15.28429497107327, -0.11423018920926363, -3715]","[13.419870739568601, -0.00816953442221851, -22089]","[12.625812400099852, -0.07241418794497421, -19291]","[13.726484114152152, -0.019210977287024766, -1146]"
