era,session,block_number,name,stash_address,controller_address,commission_percent,self_stake,total_stake,num_stakers,voters,era_points
165,1031,2465718,,1KPfsQbEQzetjYbQFPAmJ5XXN8G4Jh3toBQW41H4x7wTczu,1KPfsQbEQzetjYbQFPAmJ5XXN8G4Jh3toBQW41H4x7wTczu,100.00,842756088479409,32312141828079686,2,4,1060
165,1031,2465718,,16LqQSto6QrpmKgqXWqc8HvpGvcY5tzo6wqQy97q7qQkKF3E,16LqQSto6QrpmKgqXWqc8HvpGvcY5tzo6wqQy97q7qQkKF3E,100.00,100000000000,26078153919280385,8,97,780
165,1031,2465718,binance_stake_1,1v7QwYLMaABh7eyFKN9PHbKquAyPt6PtcYZZWvf12KV5pMk,13MzYE7t14e7GbXmbGQjqQHWGs2LuQh6zosNNPJdEovnLbnk,100.00,10000000000,30082671862886292,4,6,1140
165,1031,2465718,,16WU9RRW2XjnfzrdMJa2JHmXfeCyWGRayWHNQCT8r16KnrQd,1KzypLCh61N1rxHXYSy4Gha2Ud9BL5vK5sdJFvyfAkjEN7g,100.00,99360406100,37260820201385729,1,14,1160
165,1031,2465718,,13BU2AX77ncdj8pqCDBYTbGShY38be7u2s6Ht436ANdRJhZq,13BU2AX77ncdj8pqCDBYTbGShY38be7u2s6Ht436ANdRJhZq,100.00,583809054319495,30514764458926054,1,4,1380
165,1031,2465718,Zug Cap / 05,1zugcabTuN7rs1bFYb33gRemtg67i4Mvp1twW85nQKiwhwQ,15h8Q2mQNpTFVVmihuQSDSZdE6igAQoszCDGX3hAvxPMK5Qp,0.70,100000000000,30549128713807749,101,1168,1200
165,1031,2465718,,1nr9CzVdvbEuDbuUwFyEQxSUNZSuZPATDd9XYFVxMn2WraR,1nr9CzVdvbEuDbuUwFyEQxSUNZSuZPATDd9XYFVxMn2WraR,100.00,10000000000,28898710375066758,1,1,1100
165,1031,2465718,Staked,1653t723BHhC2krGCFKUUNDQb5sUafy5pZvKVwnwo1oMAMi7,1653t723BHhC2krGCFKUUNDQb5sUafy5pZvKVwnwo1oMAMi7,10.00,10004538308,30594559941226149,34,176,1320
165,1031,2465718,,13uvYLzWyhm3oSPT58nSTSGtxnsVRESTR9G8cUCZK7iVmeFe,14d9qtSYcMHuNZdDFettkpXHLunfuFoQBouaKJnUaoAA9U1p,20.00,115229529376298,27780546324176941,5,34,1240
165,1031,2465718,,162BjyXHNoFfuUETP39d7fj4LfLiWMCLZ5SHoH48xEna9VnX,14KA7B1jivW3T86u7uAj3fT5Q3xATTWWhSs4bKshRasL3Jcq,20.00,112597166090745,27751567121701865,5,29,1200
165,1031,2465718,,1f2DsQEB4jAs7KqmKz2TAfHf2j13LXxxKjpSHPTvypSjssb,13j4Rey9gtdffsDzyvJQCxSFfWM4L8g7HHCyWqK7fpTWRTaT,20.00,102264500590969,27779789444501577,7,25,1320
165,1031,2465718,Zug Cap,1zugcapKRuHy2C1PceJxTvXWiq6FHEDm2xa5XSU7KYP3rJE,1ZnS2g9wxGVS4MbCz3FjpKSdqmvy99fPX4xsN6fAWa5c17T,0.70,100000000000,30637094516611309,67,824,1080
165,1031,2465718,Listen,1hJdgnAPSjfuHZFHzcorPnFvekSHihK9jdNPWHXgeuL7zaJ,136JdPA8uidFAUPJKarwpBsPqGkkRqLTYgNBC7vuwyAnLd6a,5.00,1799881215889431,30614677019378986,171,550,1580
165,1031,2465718,Figment / 1,16a4Q1iudXznPBx3CzJRaxXtYNenzGAZXdBZZkc5KrNxLXFP,16a4Q1iudXznPBx3CzJRaxXtYNenzGAZXdBZZkc5KrNxLXFP,10.00,43279860585,28980695814440858,74,155,1000
165,1031,2465718,,148YtoGH1R5N1TrXucBw1Pic3TkZgimENXtbjRPFofTH8dBR,1pe5UVjxJZFVt2jTMdcPo6b1z6Yip8deeL6HWp2R6kHUsdW,100.00,99360406100,37260820201385729,1,9,1160
165,1031,2465718,,126psKUiNKidXPNJRkD9TYcZdruX4dymU3vsQ6g9GM4YtEis,126psKUiNKidXPNJRkD9TYcZdruX4dymU3vsQ6g9GM4YtEis,100.00,865383377806405,34309201008196597,1,5,1100
165,1031,2465718,,13xZwV54UbBm6tZfJMBxkPH9LZLqDbq387w4R2qrii69Dgjg,13xZwV54UbBm6tZfJMBxkPH9LZLqDbq387w4R2qrii69Dgjg,100.00,100002239791,26582701691061216,15,73,920
165,1031,2465718,,13xJtGmTZTLziqetbu2xrQKgiEG4fyGg74FvmYCjxtJT3k3b,13xJtGmTZTLziqetbu2xrQKgiEG4fyGg74FvmYCjxtJT3k3b,100.00,10000000000,26503659276722362,2,2,1240
165,1031,2465718,Able Wanderer / 🐁 Mouse-11,13AtGSHJaDZrLHELmK6iKAuaAKHcetrH73N2KEb5M5SX1yDR,13AtGSHJaDZrLHELmK6iKAuaAKHcetrH73N2KEb5M5SX1yDR,100.00,10000000000,26109831651002033,2,8,1220
165,1031,2465718,,124YFXA3XoRs9Epcx3aRUSk3EKYaznocqMWfrMKtGjx8TJ2W,124YFXA3XoRs9Epcx3aRUSk3EKYaznocqMWfrMKtGjx8TJ2W,8.00,10000000000,29846062191421786,7,34,1220
165,1031,2465718,Zug Cap / 23,1zugcajGg5yDD9TEqKKzGx7iKuGWZMkRbYcyaFnaUaEkwMK,13km2A1jY2dK6SGB2SdFZsUyevkaDbK5zBgwEpMH7tUHKXUZ,0.70,100000000000,30521890453980905,100,1080,1300
165,1031,2465718,P2P.ORG / 2,16DKyH4fggEXeGwCytqM19e9NFGkgR2neZPDJ5ta8BKpPbPK,16DKyH4fggEXeGwCytqM19e9NFGkgR2neZPDJ5ta8BKpPbPK,3.00,100000050724,32317345201672095,55,735,1340
165,1031,2465718,,13AdjhixkXvnwywK12VzYHzhM78jdFiKXTof1ppAaoysyWQB,137gvypasWxQcqcUjyZa4PUKVeKsBAUXRKreQMi1hpJHNhfS,20.00,220281495996202,25686333701987391,13,58,1040
165,1031,2465718,HashQuark,15BQUqtqhmqJPyvvEH5GYyWffXWKuAgoSUHuG1UeNdb8oDNT,15BQUqtqhmqJPyvvEH5GYyWffXWKuAgoSUHuG1UeNdb8oDNT,10.00,139925768182562,30722771581800300,38,284,1320
165,1031,2465718,,12jm44LqjMrxupiBYVfENUA4TY6Krf49EpbFU5swc2hKNbFh,12jm44LqjMrxupiBYVfENUA4TY6Krf49EpbFU5swc2hKNbFh,100.00,824015139706240,32007855132873652,1,5,1100
165,1031,2465718,,12GyddkN9Mo7MeEvqcyPSFSX2CNmCECB5ezzdRBvbeujSbqm,15GTKQK56fq8aPUdgMDVCiHFP8oSAK2ytVGYAQ5wsrn6DZ9j,100.00,99360406100,37260820201385729,1,14,1180
165,1031,2465718,,14UieaEqDLiybuL5zHYribzkJGgEN8jJr77j9QdsJeaEUT1F,14MSDgASZCW1S6cRYdiPmwTnagmgLCp5J87gtQNsuyfCC3pU,100.00,99360406100,24840911859059186,3,3,1460
165,1031,2465718,P2P.ORG / 13,13uW7auWPX9WAtqwkBx7yagb78PLcv8FAcPZEVCovbXoNJK4,13uW7auWPX9WAtqwkBx7yagb78PLcv8FAcPZEVCovbXoNJK4,3.00,100000157206,30626428153002464,96,557,1120
165,1031,2465718,Hypersphere / Hypersphere-3,13WPYFoR3zuCQqCxEaTTvJRB2KthyxtvNkoW2vn5SmhdkLmC,13WPYFoR3zuCQqCxEaTTvJRB2KthyxtvNkoW2vn5SmhdkLmC,100.00,10000000000,29207613061867156,3,5,1300
165,1031,2465718,,15hkz83sTMouD7GiiWP3SQc5DXaZFumYgJ6bf8Xq3dphPQ4h,15hkz83sTMouD7GiiWP3SQc5DXaZFumYgJ6bf8Xq3dphPQ4h,7.00,10000000000,43030229065065652,14,165,1360
165,1031,2465718,Zug Cap / 03,1zugca8p9rquswKkHtVKmzR6Z8R9PAmj8MGL1x3HArdAp1J,15CN3P6iZnQhwzKbzjXT6937PRr6vNhJatfk98Y18XuwWKjZ,0.70,100000000000,30626811976820556,101,944,1200
165,1031,2465718,,14TFQiKmAXBqozphG4Njjhbic5Ggqt3eekFN7CAojyCALKEx,15AbLsUh4GB4RXCR8ZvkZfEJyB5FpiAy8XihMLBc5q3C76Dk,100.00,99360406100,37260820201385729,1,10,1260
165,1031,2465718,Able Wanderer / 🐁 Mouse-2,12HTVpN7smNqUwbM5ART7dpoEV1rcY8itrKKMCzGikrJJo6A,12HTVpN7smNqUwbM5ART7dpoEV1rcY8itrKKMCzGikrJJo6A,100.00,10000000000,26109238644241052,2,10,1220
165,1031,2465718,,13WE4gVd4jW6o88Lnto9Y4WAhkMGeNNP7FWSqikeSCNqkwcv,13WE4gVd4jW6o88Lnto9Y4WAhkMGeNNP7FWSqikeSCNqkwcv,100.00,10000000000,26498796907759213,1,1,1080
165,1031,2465718,,12GfbefRxy4aXD635UGUftBh4tzRrofnMK5WfZDVAAtz49oc,12GfbefRxy4aXD635UGUftBh4tzRrofnMK5WfZDVAAtz49oc,100.00,237350250000000,30513441043762266,2,2,1640
165,1031,2465718,,15dPFENfyioL2UGjZbhzsQJ65rrxD6EXFmL4oqGnAuR7prwT,15dPFENfyioL2UGjZbhzsQJ65rrxD6EXFmL4oqGnAuR7prwT,100.00,100000000000,26075625372596673,7,98,1180
165,1031,2465718,Blockdaemon / 0,12jjUEmaKuwC1SxQHe8eXpcv6AzdWiXdvf55VvP1y8bf548b,12jjUEmaKuwC1SxQHe8eXpcv6AzdWiXdvf55VvP1y8bf548b,5.00,12772343105621,30596025542397819,26,157,1280
165,1031,2465718,Zug Cap / 16,1zugcavJYzi2KErZy9CMbLANhfrFwMESgPz9q29eUCR5gTW,13xMbJbDSF9rtdpCXXrGMmbVGUtMWiwqj6ZnUWQWdEqBwNMV,0.70,100000000000,30626133923687008,170,807,1400
165,1031,2465718,,13Awx8ztFrFyf7TbKGPoCW8HqGcgCrn5Fe5qsiwDjyt3ZcJ1,13Awx8ztFrFyf7TbKGPoCW8HqGcgCrn5Fe5qsiwDjyt3ZcJ1,100.00,821830932519999,32317433474494239,1,3,940
165,1031,2465718,P2P.ORG / 5,15oKi7HoBQbwwdQc47k71q4sJJWnu5opn1pqoGx4NAEYZSHs,13TrsUgdF5VWHnM7diyLCGCVR6xCmEpf3uA7UAsCrqk4ExGc,3.00,16195715033236,30628247451485245,111,645,1340
165,1031,2465718,,125xj1nYWcVcCM9CnLUydqEmuFwSNTmRybmyK65XWu8RFWK3,138x4cYWRFJ8NWS3w6Ghp1PpwZ3Gg3E9kR8DJw1mL8Qc5nNg,10.00,10000000000,30560222122477774,26,121,1140
165,1031,2465718,,143XCiQMmvh7y6YB1MF3umY6Fy8Fzd36UgGb7teTxiEuvfmZ,143XCiQMmvh7y6YB1MF3umY6Fy8Fzd36UgGb7teTxiEuvfmZ,100.00,10000000000,28901356291599908,1,1,1300
165,1031,2465718,,15GKe1eRMAco1go8NNEvAy2CompMTBdJR3Fpmyk55FoajY7W,15GKe1eRMAco1go8NNEvAy2CompMTBdJR3Fpmyk55FoajY7W,100.00,832537352299956,34310165200513871,1,4,1320
165,1031,2465718,,13NYekugyqfjAhMTsoZdimKHvBZKfqptDEA5qNKHzZoc1R4W,15TuwVcXp5xAckjeyGgPDDScBN5MPbRybxVf2rAR69iGuMvP,20.00,223831019649622,25684521841191425,14,46,1240
165,1031,2465718,,12RVY2KvBCyBuKXNEpjqWVFaePhURwubBXqcyXKsEKdhhujG,12RVY2KvBCyBuKXNEpjqWVFaePhURwubBXqcyXKsEKdhhujG,100.00,100000000000,26582096128137700,8,73,1160
165,1031,2465718,,1Y6WgLRtW6JxmZjSNYsJ9b6JzuF8Kdd7t9kUNiYk9SJXraW,13imYRgo7fnXpMWugVdTzKV1CgyurdJnmiipjJG5c3LF8Mpz,100.00,99360406100,37260820201385729,1,9,1200
165,1031,2465718,Staking4All 🥩 / Staking4All 🥩,14cxMDpBNLsNEXWyCzked3zghzaYWXwoqGT4h12GqQXdVhmn,12rsYhw5KztSoJKhLUy7EK1EHnbz8d2zEa264ccp7W47pmqo,1.00,20146779553,30522626032766664,181,1039,1260
165,1031,2465718,ZKValidator / ZKValidator 1,14pU6dcr5jgMpFZDGB1fwcU6LztP5pszTk5mYz8nUXBu59mU,14pU6dcr5jgMpFZDGB1fwcU6LztP5pszTk5mYz8nUXBu59mU,8.00,10000000000,30646692411203187,40,141,1040
165,1031,2465718,,16SxHe93PgkkfCHouc4mtCrzbirN1Ba8nCLHatNm66nXtEJH,16SxHe93PgkkfCHouc4mtCrzbirN1Ba8nCLHatNm66nXtEJH,100.00,10000000000,29198245294117647,1,4,1460
165,1031,2465718,,16aKQCnTTG4Tym85E1kVmWQd7ypRDxztk6Tx4HAL8AUdwPok,16aKQCnTTG4Tym85E1kVmWQd7ypRDxztk6Tx4HAL8AUdwPok,100.00,814258638482795,32003431642009816,1,5,1120
165,1031,2465718,Able Wanderer / 🐈 Cat-1,13udQHLoe9iGuAbxhTz8HSTYPqBeTSDfx3cvowik9kJessPG,13udQHLoe9iGuAbxhTz8HSTYPqBeTSDfx3cvowik9kJessPG,100.00,10000000000,26113760194552529,2,11,1360
165,1031,2465718,P2P.ORG / 3,15qomv8YFTpHrbiJKicP4oXfxRDyG4XEHZH7jdfJScnw2xnV,15qomv8YFTpHrbiJKicP4oXfxRDyG4XEHZH7jdfJScnw2xnV,3.00,228878218029347,30625033019067997,101,849,1260
165,1031,2465718,,14dv1F9is1AFxwWVNg4biriUMn8MGeAkNUyeNiyYLJ1sfD3a,123dLGmygymhWRLGb9xEX28J5Wr3smKoAXHTikJdWQBFfzkr,100.00,99360406100,37260820201385729,1,8,1160
165,1031,2465718,,14bJ3GACqzyN3oUvCCbhWKMhbLnCsxaxo7efYg2rUkq8MHPL,14bJ3GACqzyN3oUvCCbhWKMhbLnCsxaxo7efYg2rUkq8MHPL,100.00,10000000000,26498796907759213,1,1,1340
165,1031,2465718,,1oAzPf1r4hzF5qZV6gn8mmgNW9oCi9SWok4AABKQGUF5GQ9,14u22FeJjrECmyECj4x5rpYnhJTwaMw1VnAcXgGG9EnhZti3,100.00,99360406100,24840920112910617,2,2,1340
165,1031,2465718,,12WmM98h4Ar6y7ZyyMKPXwSyuP5GSZvXTbEkDXm1tirbZFW4,12WmM98h4Ar6y7ZyyMKPXwSyuP5GSZvXTbEkDXm1tirbZFW4,8.00,10000000000,30485595224404501,15,97,1160
165,1031,2465718,Zug Cap / 11,1zugcawsx74AgoC4wz2dMEVFVDNo7rVuTRjZMnfNp9T49po,16mkYapbnDjmp2JqzPkpHggiELQKMHPjdSqUkDutE24BrZKr,0.70,100000000000,30626936809028968,114,945,1080
165,1031,2465718,Cryptium Labs / 1,12C9U6zSSoZ6pgwR2ksFyBLgQH6v7dkqqPCRyHceoP8MJRo2,167tpLGdytfEjeZYpRJGUt6XU4TiURHeNBNCoVFGvz3Haz9W,5.00,10988136911,30618855968292602,118,485,1240
165,1031,2465718,Zug Cap / 15,1zugcaxRrQDr7ktb6SpjVMkywys2ysoZWBfUfs9CDPwFVHC,12eV6RwTvkpbLXFSr48WKpfVsegjyLjtJLQvU5ce9FwEH8fv,0.70,100000000000,30599733138619839,14,277,1280
165,1031,2465718,,14Q1ZF3JnjMQkxgepZz6cw2ShLuhXqVqpPM3xoyXEeY7WzsC,149WYEEzHFhLUghZvLKtWtzoE4BDe7LcrQ8ADtTCxM7mApwK,20.00,223226434215358,25684686543221110,12,39,1400
165,1031,2465718,Polkadot.pro - Realgar / azimut,14j3azi9gKGx2de7ADL3dkzZXFzTTUy1t3RND21PymHRXRp6,165frkkJasXCD5EE3WCaJFnBJV8p3QUsXmTEHtS9ammy2KYY,2.00,1110000000000,30675356902851087,169,818,1420
165,1031,2465718,,1w7UoHMRC6zg99knXxCAANXuJDQcQTYiPqaR6xENcWjmboH,16HXDmozaTh2Qympsd4bk3o929kmFjWHU1KHpkPUhrBnJH1h,100.00,99360406100,37260820201385729,1,9,1320
165,1031,2465718,,1eojWGUywrfCANuTNHNQmwVR4435YRLpSND7uZDRTwY7fPT,1eojWGUywrfCANuTNHNQmwVR4435YRLpSND7uZDRTwY7fPT,100.00,456840568280624,30523495120268024,2,2,1580
165,1031,2465718,,145MeLV4uyei8H4H7Amb89uQW7y9reMAJkBYyQTXk6PCHnoW,12ZEJpm6vpLPKEQz6pw7j2pi9xCgiagKQyZQetaMRkZNc6Zh,20.00,113089794892107,27780995841042313,3,28,1080
165,1031,2465718,,13H6kxukuy1gUZDL8SNM97srgFnwMhQ9mgXcWVaQkB55y2dG,15uRoANDbGwtqwa5vxEK4ru6PvECP5dJH8KqsgqFJ8qLKVdx,20.00,105714542469476,27780501698128977,7,25,1380
165,1031,2465718,,12zi8U5ZtretMY6oz81Ai6gtxBYhmbPHDbAT5TRpUn2RVi1w,16hf2fhnHZQ7vvvNpeX7keTdb9g9YRwziXhATabcHbfTQfKp,20.00,97020936435135,27752051639142856,3,24,1360
165,1031,2465718,,15vvFZPWJcq62e2rQ2SYPP6PsZri9LWJb2354Qxx98pQC2KE,15vvFZPWJcq62e2rQ2SYPP6PsZri9LWJb2354Qxx98pQC2KE,100.00,10000000000,24619765772837437,5,10,1540
165,1031,2465718,,12eDfoz2ufNGpPzDE8KTKbFMZpfPC8w4T11xqC8GrXBpFmsr,12eDfoz2ufNGpPzDE8KTKbFMZpfPC8w4T11xqC8GrXBpFmsr,100.00,818230942732214,32310630533314438,1,7,1440
165,1031,2465718,P2P.ORG / 23,129TM37DNpyJqtRYYimSMp8aQZ8QW7Jg3b4qtSrRqjgAChQf,129TM37DNpyJqtRYYimSMp8aQZ8QW7Jg3b4qtSrRqjgAChQf,0.00,100000188552,30624876504296467,70,727,620
165,1031,2465718,Able Wanderer / 🐁 Mouse-12,126CY11joFMpakVSRra9LtNFYWuUzbtA9BcGPpaEvn7R8RkN,126CY11joFMpakVSRra9LtNFYWuUzbtA9BcGPpaEvn7R8RkN,100.00,10000000000,26109557480774634,1,7,1360
165,1031,2465718,TransX,1FDjr74RUwB2syVjqNWbTCfPzy8VwxktvNsaYMmMaivRU2A,121u2RixvSdTiqcMnU8sCaNJrarV2oMGUeYnjNkvZDwFLQGq,4.00,884078989439286,30626375057916191,184,536,1240
165,1031,2465718,,13QsfwpQGVuyu4uh7JcfbuBACLMZ3cMr7pF4vE1imuBgXcKN,13QsfwpQGVuyu4uh7JcfbuBACLMZ3cMr7pF4vE1imuBgXcKN,100.00,100000000000,26087578506904707,4,95,1320
165,1031,2465718,,1cFV5Z8xgsRGE3JwfvK54F9mMTWvunoyRA7YADk2by33xtp,1cFV5Z8xgsRGE3JwfvK54F9mMTWvunoyRA7YADk2by33xtp,100.00,805601085570967,34314779917121967,2,7,940
165,1031,2465718,,12LKeuFyyjC94iXpHftt3UVu567ji5WyKE6MvDBDWVJUuuJJ,12LKeuFyyjC94iXpHftt3UVu567ji5WyKE6MvDBDWVJUuuJJ,10.00,10006237298,30555397122774200,61,246,1560
165,1031,2465718,P2P.ORG / 27,13Ei9Xuqwu971JiBAkZx92XgBzX1wpuRnwi5qx76ZueAnGko,13Ei9Xuqwu971JiBAkZx92XgBzX1wpuRnwi5qx76ZueAnGko,3.00,100000877842,30600016911798971,63,337,1120
165,1031,2465718,,14Y6TZaNAS43At4ovGMULSuGkdE7svmn6zqicWBkSiVd7A4T,14Y6TZaNAS43At4ovGMULSuGkdE7svmn6zqicWBkSiVd7A4T,100.00,100000000000,26582868147014466,16,74,1380
